;filter_conv_1;kernel_conv_1;filter_conv_2;kernel_conv_2;filter_conv_3;kernel_conv_3;batchnorm_1;batchnorm_2;batchnorm_3;batchnorm_4;n_dense;batch_size;best_val_acc
144;64;3;128;5;256;5;0.7374943166617657;0.8500060120762575;0.7024356910828587;0.9638351924714316;256;256;0.8464999794960022
145;64;5;128;3;256;3;0.9468529332676826;0.7196109409121522;0.7053455845411682;0.9535089629421972;128;256;0.8244000077247621
146;32;3;64;3;256;5;0.8491167844627737;0.7202971298035145;0.9898804311698126;0.7033319304154245;256;64;0.8224999904632568
147;32;5;128;3;256;3;0.8410000438151318;0.8908543050844997;0.9134274256235904;0.8687144517269564;256;128;0.8016999959945679
148;32;3;64;5;256;5;0.7656624799722976;0.7769031676975944;0.7361945823105148;0.7480750404243613;128;128;0.8123000264167786
149;32;3;128;5;256;5;0.9442716748388452;0.938114720866043;0.9509284217745926;0.9859821741016108;256;64;0.8294000029563904
150;64;5;128;3;128;3;0.9783748952935664;0.9661283617546376;0.7615717767770478;0.8280155513966286;256;256;0.8176000118255615
151;64;5;128;3;128;3;0.7042492281185171;0.8211727068890841;0.9307015592387692;0.9865971248997432;64;64;0.8209999799728394
152;64;3;64;5;128;5;0.7151739066802804;0.9676124946168064;0.7632989816233228;0.7879813065898476;128;256;0.7961999773979187
153;64;5;64;5;256;3;0.990153745564638;0.9524226700310736;0.9487730368541536;0.8986144478976189;256;64;0.8141000270843506
154;32;5;64;5;128;5;0.8320367201292127;0.9666614919348934;0.8105928469529593;0.8152196096609384;64;128;0.7856000065803528
155;32;5;64;3;256;3;0.9407723937695848;0.8850601458618751;0.9700058247015336;0.8587974772337317;256;128;0.7886000275611877
156;64;5;128;3;256;3;0.9035059754964264;0.9326326461119804;0.7653181990507921;0.7956983303578222;64;128;0.8116000294685364
157;64;3;128;5;128;5;0.9115987728611682;0.8221434437884795;0.8293460502151562;0.9451256033862896;256;128;0.8303999900817871
158;64;5;64;5;128;3;0.8621873649492076;0.9979818720146221;0.7417136224178743;0.9281203570321108;128;64;0.8112999796867371
159;32;5;64;5;256;5;0.7523760061927129;0.8792655287252225;0.9008049391246716;0.7878401453602162;64;128;0.8119000196456909
160;32;3;64;5;256;3;0.9769260716597804;0.9317549066265884;0.8904097956546383;0.8041456814457935;128;128;0.8047999739646912
161;64;5;64;5;128;5;0.9177219188273787;0.9722525983070454;0.9278489900723764;0.8442204685718548;128;128;0.7875000238418579
162;32;5;128;3;128;5;0.7937138997158925;0.8244214423052366;0.7293690557697686;0.8251356239206167;64;64;0.8113999962806702
163;32;3;128;5;256;3;0.8795668523851259;0.8589479911742729;0.9351761031486292;0.7108052921776452;64;64;0.8309000134468079
164;64;5;128;3;128;3;0.966118372000172;0.9817261773179259;0.8854755355977266;0.8234310454695302;256;128;0.7843000292778015
165;64;3;128;5;128;5;0.8909120577949958;0.7852775178425087;0.8332009401428452;0.7187489897038974;64;64;0.8346999883651733
166;32;3;128;5;128;5;0.8790388386930778;0.7650406158511803;0.8510452640229439;0.7081186535105887;64;64;0.8230000138282776
167;64;3;128;5;256;3;0.8061609574382103;0.7664346805214897;0.8610225796897062;0.7414720538287032;64;64;0.8414999842643738
168;64;3;128;5;128;5;0.8098649111710535;0.7606556021965721;0.8588840958815207;0.7476611444002497;64;64;0.8300999999046326
169;64;3;128;5;128;5;0.8071178736132311;0.7919678255857185;0.8022104279665817;0.7460962587061579;64;64;0.8392000198364258
170;64;3;128;5;256;3;0.749360010003449;0.7060258150855548;0.8010815489874764;0.7563126271785541;64;64;0.8407999873161316
171;64;3;128;5;256;3;0.7445939178417459;0.7004853746164106;0.7945878195348353;0.7707149839876516;64;256;0.8435999751091003
172;64;3;128;5;256;3;0.7259074182865393;0.7423012354515172;0.8728533849170871;0.770834669800884;64;256;0.8356000185012817
173;64;3;128;5;256;3;0.7793227348669951;0.7287576700686409;0.7854298749257728;0.7278719766416806;64;256;0.8324999809265137
174;64;3;128;5;256;3;0.7325534728722886;0.7040691841656068;0.7058843058451298;0.766831840665052;64;256;0.8360999822616577
